time,pack_voltage,pack_current,pack_soc,pack_temperature,ambient_temperature,voltage_imbalance,soc_imbalance,temperature_imbalance,min_cell_voltage,max_cell_voltage,min_cell_soc,max_cell_soc,min_cell_temperature,max_cell_temperature,balancing_active,safety_events,cell_0_voltage,cell_0_soc,cell_0_temperature,cell_1_voltage,cell_1_soc,cell_1_temperature,cell_2_voltage,cell_2_soc,cell_2_temperature,cell_3_voltage,cell_3_soc,cell_3_temperature,cell_4_voltage,cell_4_soc,cell_4_temperature,cell_5_voltage,cell_5_soc,cell_5_temperature,cell_6_voltage,cell_6_soc,cell_6_temperature,cell_7_voltage,cell_7_soc,cell_7_temperature,cell_8_voltage,cell_8_soc,cell_8_temperature,cell_9_voltage,cell_9_soc,cell_9_temperature,cell_10_voltage,cell_10_soc,cell_10_temperature,cell_11_voltage,cell_11_soc,cell_11_temperature,cell_12_voltage,cell_12_soc,cell_12_temperature,cell_13_voltage,cell_13_soc,cell_13_temperature,cell_14_voltage,cell_14_soc,cell_14_temperature,cell_15_voltage,cell_15_soc,cell_15_temperature,cell_16_voltage,cell_16_soc,cell_16_temperature,cell_17_voltage,cell_17_soc,cell_17_temperature,cell_18_voltage,cell_18_soc,cell_18_temperature,cell_19_voltage,cell_19_soc,cell_19_temperature,action,reward,controller,controller_mode,desired_pack_current
5.0,53.5318519987373,-5.0,0.20278776554337083,31.48477517629789,31.69224739074707,0.04009232456400147,0.0004946416929647035,0.0021165301910883727,2.658855984786102,2.6989483093501034,0.20256162160549498,0.2030562632984597,31.482658646106803,31.48477517629789,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.6954179749443403,0.20269690923945763,31.484664390137223,2.677031661292585,0.20278312925999903,31.484251662926436,2.6806332995123943,0.2026771896367855,31.484279580675487,2.6653013411332647,0.20256830837231404,31.483868633946035,2.67358343253411,0.20279663091724534,31.484066385406543,2.6805567826163252,0.20279662859432857,31.48373631004256,2.6682500144684425,0.20256162160549498,31.483702372535216,2.6839868086461314,0.20266175281149096,31.4845989396893,2.672843662780173,0.20283032719498184,31.48437572599231,2.676745785672886,0.20269089040803545,31.483764528736295,2.672835916754505,0.20282944974246808,31.483593239822294,2.6989483093501034,0.20282978463389903,31.48463118524171,2.679521622409963,0.20273085074639363,31.48477517629789,2.6671404361136637,0.2030562632984597,31.484169396346708,2.6872558117117227,0.20302476220195181,31.484693001418492,2.6661884727220997,0.20284384172576556,31.483890700997865,2.6811364628152976,0.20291132280584379,31.483544732765726,2.658855984786102,0.2027211334425904,31.482658646106803,2.6648415951822786,0.20289534084876482,31.483273677185984,2.6807766232909156,0.202973890733396,31.484557066374432,1.0,0.01326142723363466,cccv,CC,-5.0
10.0,53.570575338128556,-5.0,0.20557561095814653,31.492356547202355,31.69224739074707,0.04024515617087232,0.0009893267648748705,0.0038090466897067188,2.6606902117749396,2.700935367945812,0.20512330531598652,0.2061126320808614,31.48854750051265,31.492356547202355,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.6972206244083714,0.20539389095897945,31.492194050304146,2.678952779014397,0.2055663381739692,31.491523890139664,2.682407830291148,0.20535445017404821,31.491431137504865,2.6669242637959525,0.20513667933796428,31.490785485265956,2.6755230577955524,0.20559334265441856,31.490992492356508,2.682496807780609,0.20559333800600388,31.49048335507233,2.6698638195015914,0.20512330531598652,31.490516068878964,2.685740126192915,0.2053235753054958,31.491949328515073,2.6748299272002325,0.20566073816742167,31.49162513012179,2.6785390918731804,0.2053818528080118,31.490560376432853,2.674820964839953,0.20565898317965167,31.490352442447726,2.700935367945812,0.20565965299914624,31.49206248113423,2.681370445478916,0.205461776745052,31.492356547202355,2.669439331308579,0.2061126320808614,31.491464673126085,2.6895124307933433,0.2060496266671004,31.492100976350855,2.6681930618658627,0.20568776843144002,31.49080693530324,2.68323545885032,0.2058227367878297,31.48996698163771,2.6606902117749396,0.20544234132655492,31.48854750051265,2.6669174335128254,0.20579077137682789,31.489623026104187,2.682962303904055,0.20594787865448153,31.491795477777636,1.0,0.033498301037849565,cccv,CC,-5.0
15.0,53.74731189075443,-5.0,0.20836353629891588,31.49972351429726,31.69224739074707,0.04039800243364766,0.0014840552531738271,0.005219558962753723,2.669425089326611,2.7098230917602586,0.20768505117109487,0.2091691064242687,31.494503955334505,31.49972351429726,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.705923923108935,0.2080909452096149,31.499546059824116,2.687774555366669,0.20834962679733343,31.498690898596003,2.6910830075212466,0.20803178166014932,31.498434535486112,2.675447820763067,0.20770511293742758,31.497614411102514,2.684363343147334,0.20839013526713843,31.49776088935353,2.691337493254928,0.20839012828940434,31.497157019585625,2.678378258231083,0.20768505117109487,31.49728812886649,2.6943940886195614,0.20798546753047456,31.499059112136646,2.6837168558718916,0.20849123297663236,31.498680855927294,2.687233045879828,0.20807288724738146,31.497307625967423,2.6837066769930207,0.20848860036766378,31.49711710253298,2.7098230917602586,0.20848960515615697,31.499282541377642,2.6901199211349556,0.20819277804966033,31.49972351429726,2.6786389209048287,0.2091691064242687,31.498688472799802,2.6986697406973494,0.20907459347230653,31.499271715843847,2.677098316650268,0.20853178017535626,31.4975975802178,2.6922351296970537,0.2087342420079235,31.496275148871383,2.669425089326611,0.20816362369724986,31.494503955334505,2.6758939439329072,0.20868629164371555,31.49593194814426,2.6920486678926387,0.20892196383492706,31.49872316822662,1.0,0.05373524130677598,cccv,CC,-5.0
20.0,53.875442529499544,-5.0,0.21115154161980854,31.506904027210325,31.69224739074707,0.04055086332146729,0.0019788271954884196,0.006424581489561376,2.675729661097449,2.716280524418916,0.21024685921057262,0.21222568640606104,31.500479445720764,31.506904027210325,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.7121969146709146,0.21078807204169697,31.506737652855335,2.694166033998245,0.21113299518533585,31.50573564151698,2.6973278748350156,0.21070918414277134,31.50530934525565,2.6815410556691885,0.21027360921112065,31.504335770244467,2.6907733322314216,0.21118700881020297,31.50439971087295,2.6977478826903174,0.21118699949868475,31.50374994922338,2.684462374294692,0.21024685921057262,31.503981530542855,2.7006177395432736,0.21064742953380922,31.505973010862142,2.6901734924373417,0.21132181168113626,31.505562634804683,2.6934966913390768,0.21076399377346922,31.503992261682928,2.6901620968799493,0.2113183013630256,31.503842751468774,2.716280524418916,0.2113196411642524,31.50632995212908,2.696439093007607,0.21092385471294506,31.506904027210325,2.6854082485871587,0.21222568640606104,31.505791676809896,2.705396785067983,0.21209966269267583,31.506255040241587,2.683573280728292,0.21137587701567623,31.504248539158873,2.6988045190083603,0.21164583852724206,31.50249906463418,2.675729661097449,0.21088498060062402,31.500479445720764,2.682440170107326,0.21158190170899213,31.50217468172078,2.6987047588870166,0.21189614634457274,31.505399107542566,1.0,0.0739722501247213,cccv,CC,-5.0
25.0,54.00299697578735,-5.0,0.21393962697450464,31.513914644479446,31.69224739074707,0.04070373881428635,0.0024736426292372438,0.0074718675643126176,2.682005413166355,2.7227091519806415,0.21280872947407276,0.21528237210331,31.506442776915133,31.513914644479446,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.71844108514791,0.21348527150496233,31.513779037030872,2.7005287009814367,0.21391644339284993,31.512652981845626,2.703543918293297,0.213386657669115,31.512062372996954,2.687605454573144,0.212842168199218,31.51094451429357,2.6971545111191566,0.21398396333782443,31.510922941454883,2.7041294621627534,0.2139839516877475,31.510255858495498,2.6905176537527584,0.21280872947407276,31.510578130207968,2.7068125650132018,0.2133094613620925,31.512717443728572,2.696601322966798,0.21415247433870332,31.51228838548014,2.6997315143215506,0.21345517243346152,31.5106010323269,2.6965887105874917,0.21414808622232284,31.510504255010787,2.7227091519806415,0.21414976108192807,31.513227291152415,2.702729447155775,0.21365500678688035,31.513914644479446,2.6921488004595724,0.21528237210331,31.512754859911908,2.712095049984308,0.21512483440218205,31.51307319556414,2.6900194401770166,0.2142200590100808,31.510763622270392,2.7053451128678994,0.21455752640643513,31.50864801286001,2.682005413166355,0.21360641208290557,31.506442776915133,2.6889575981241216,0.21447760163208726,31.50833602353439,2.7053320629521678,0.21487042625182998,31.511864503126702,1.0,0.09420932903072865,cccv,CC,-5.0
30.0,54.12031508775128,-5.0,0.2167277924162448,31.520766712371945,31.69224739074707,0.04085662889845443,0.0029685015914882595,0.008394199515251444,2.6877693384450203,2.7286259673434747,0.21537066200103516,0.21833916359252342,31.512372512856693,31.520766712371945,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.7241734274299905,0.21618254364861156,31.52067723264668,2.706379549222575,0.21669997147431092,31.519442341914697,2.709248130792686,0.21606420228596654,31.51869640685796,2.693158010368239,0.2154107899415909,31.517440740600914,2.7030238727184592,0.2167809989037399,31.517337872259688,2.7099992245822184,0.21678098491021278,31.516669940642903,2.6960610894988775,0.21537066200103516,31.517069332793646,2.712495557916889,0.2159715630612795,31.519309652119983,2.702517340367314,0.21698322100643058,31.518871973496243,2.705454507731224,0.21614642327435654,31.517124061280303,2.7025035110342155,0.21697795500202233,31.517086659700766,2.7286259673434747,0.21697996496701139,31.519987947877002,2.7085079764751936,0.21638623432278978,31.520766712371945,2.698377569457985,0.21833916359252342,31.51957165528919,2.7182815283639736,0.21815010867391524,31.519738178664248,2.6959537879085804,0.21706432621570962,31.517150482559792,2.7113739041957996,0.21746930570581854,31.514723586543422,2.6877693384450203,0.21632791819042427,31.512372512856693,2.694963220904587,0.21737339147218182,31.514407632836487,2.7114475729939715,0.21784480362396014,31.51814870023339,1.0,0.11444647923972617,cccv,CC,-5.0
35.0,54.231476787575545,-5.0,0.21951603799783753,31.52746880025716,31.69224739074707,0.041009533564207334,0.0034634041189126052,0.009215316430786658,2.693225433045849,2.7342349666100563,0.21793265683063062,0.22139606094954323,31.518253483826374,31.52746880025716,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.729597937610392,0.2188798885213446,31.52743764854338,2.711922574829861,0.2194835794836946,31.52610495014663,2.714644508432222,0.21874181803972065,31.525213193186314,2.6984027191499487,0.21797947447779117,31.52382616143765,2.708585413140244,0.2195781155612658,31.5236485003815,2.7155611660601235,0.21957809921939275,31.52298882791527,2.701296677628007,0.21793265683063062,31.52345153968948,2.7178707143462644,0.2186337346767769,31.52576177447748,2.7081255407495743,0.21981405174081467,31.525323666186846,2.710869667673031,0.21883774634291667,31.52355469027451,2.7081104943389542,0.21980790775836787,31.52358073548833,2.7342349666100563,0.2198102528767535,31.52662010428016,2.713978677064995,0.21911753737140624,31.52746880025716,2.704298551719099,0.22139606094954323,31.526241712786565,2.724160216328534,0.2211754855801917,31.526258047310385,2.7015803200378845,0.21990867868917605,31.52341635155614,2.717094889114654,0.22038117648541514,31.520724566020217,2.693225433045849,0.21904949896949694,31.518253483826374,2.700661034571205,0.2202692712881402,31.520385326292548,2.717255285124652,0.22081927852726912,31.524273085257192,1.0,0.13468370176800892,cccv,CC,-5.0
40.0,54.336922339776535,-5.0,0.2223043637716681,31.534064780793372,31.69224739074707,0.04116245280421138,0.0039583502477767984,0.009989929270496134,2.6983957101965506,2.739558163000762,0.22049471400173395,0.22445306424951075,31.524074851522876,31.534064780793372,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.734736628899411,0.22157730617138469,31.534064780793372,2.717179791027772,0.22226726747451406,31.532642783205127,2.7197550644274058,0.22141950497638926,31.531614356284265,2.7033615941302243,0.2205482218470509,31.530102836601053,2.713861145612166,0.2223753133633262,31.529857168313722,2.720837299823654,0.22237529466827183,31.529210375907088,2.70624643135109,0.22049471400173395,31.529723826660817,2.7229600475111257,0.22129597625350128,31.532082840914494,2.713447937341637,0.22264496659780764,31.53165107098304,2.7159990073673947,0.22152914168563287,31.5298887205294,2.713431673735652,0.2226379445473179,31.529980679487878,2.739558163000762,0.22264062486788327,31.533129012354603,2.7191635621415227,0.22184891598291268,31.53402779306679,2.7099337604953355,0.22445306424951075,31.532767521163297,2.729753127116899,0.22420096519261265,31.53263919797363,2.7069210497967378,0.22275311648659793,31.529567079817188,2.722530080863203,0.22329313880496135,31.526648846573654,2.6983957101965506,0.22177115446634862,31.524074851522876,2.7060730523622336,0.22316524113847258,31.526267371012352,2.72277721257575,0.2237938510272458,31.53025361677934,1.0,0.15492099750611166,cccv,CC,-5.0
45.0,54.437742235579975,-5.0,0.22509276978970616,31.540562554470053,31.69224739074707,0.04131538661268852,0.004453340013950868,0.01073367859505936,2.7033346944593557,2.7446500810720442,0.22305683355291242,0.2275101735668633,31.529828875874994,31.540562554470053,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.739644025843179,0.22427479664649677,31.540562554470053,2.722205722376088,0.22505103549982355,31.539058138220298,2.724634323329109,0.224097263141607,31.537901619922785,2.7080891598564447,0.22311703208828698,31.536272762735702,2.718905594697339,0.22517259236246776,31.535965393672484,2.725882150434852,0.22517257130949242,31.53533340993448,2.7109648752142186,0.22305683355291242,31.535886713583487,2.727818081957648,0.22395828783591948,31.538279851219084,2.718539054707552,0.2254759656328582,31.53785995079507,2.720897051369437,0.22422060934870053,31.536123692299523,2.7185215737926813,0.22546806542450668,31.536282859072234,2.7446500810720442,0.22547108099664015,31.53951828951246,2.7241171562570448,0.22458037020697275,31.540449458859136,2.7153377203741345,0.2275101735668633,31.539152879824954,2.7351147853039675,0.22722654758210328,31.538887178914056,2.712030501752654,0.22559763966362695,31.53560719737444,2.727734004015096,0.22620519272390105,31.532494227787826,2.7033346944593557,0.22449288472705656,31.529828875874994,2.7112537988508807,0.22606130108131578,31.532053462644633,2.72806787991624,0.22676852118866261,31.536102476065164,1.0,0.175158367262636,cccv,CC,-5.0
50.0,54.534669522640925,-5.0,0.22788125610351298,31.546934508447023,31.69224739074707,0.041468334984885225,0.004948373452923205,0.011424440524717028,2.70807903821725,2.749547373202135,0.22561901552242222,0.23056738897534543,31.535510067922306,31.546934508447023,True,"{'over_voltage_cells': [], 'under_voltage_cells': [], 'over_temperature_cells': [], 'voltage_imbalance': [], 'current_limit': False, 'pack_over_voltage': False, 'pack_under_voltage': False}",2.7443567808095994,0.22697235999400261,31.546934508447023,2.7270370212559705,0.2278348836122252,31.545353444897,2.72931893750961,0.22677509258063594,31.544076815118483,2.7126220686974407,0.22568590524010695,31.54233777654872,2.723755412780253,0.22796995261086836,31.541974303171166,2.7307323702767747,0.22796992919534567,31.54135749290473,2.715488661584795,0.22561901552242222,31.54194149325823,2.732481470054144,0.22662066946807896,31.54435841190378,2.723435545233175,0.22830704890094217,31.543954815400035,2.7256004520552044,0.22691214937800377,31.542258339903007,2.723416846899125,0.22829827044521958,31.542485081883946,2.749547373202135,0.22830162131879472,31.54579065466891,2.7288761117856515,0.22731190009275515,31.546738782141723,2.720547083764172,0.23056738897534543,31.54540212455317,2.740281843286526,0.2302522328189435,31.545006981913904,2.71694532829475,0.22844224827547213,31.541540215625957,2.7327433109648767,0.22911733830137543,31.538258738653155,2.70807903821725,0.22721468979750992,31.535510067922306,2.7162399264314776,0.22895745117442476,31.537744123433207,2.7331639395379987,0.22974328907565053,31.54182916128085,1.0,0.19539581179086873,cccv,CC,-5.0
