controller,steps,charge_time_min,final_soc,target_soc,time_to_80_soc_min,time_to_90_soc_min,peak_pack_voltage_v,peak_pack_temperature_c,peak_voltage_imbalance_mv,mean_charge_current_a,peak_charge_current_a,rms_charge_current_a,charge_throughput_ah,energy_in_kwh,safety_event_count,safety_event_timesteps
cccv,1800,99.36134327283071,0.678527563707201,0.8,,,78.07001310681484,25.01698722410901,51.94251694700425,0.7429293334484103,0.7429293334484101,0.74292933344841,1.2296241045765999,0.09189929381029757,0,0
mpc,1800,99.36134327283071,0.5985116821076539,0.8,,,76.6591571485207,25.011806637628393,41.22646793698293,0.6189014086143839,0.619107777873675,0.6189357795989642,1.0244589190714624,0.0756437993420819,0,0
